price,bedrooms,bathrooms,square_feet,amenities_count,pets_allowed_bin,state,cityname,latitude,longitude
2195.0,1.0,1.0,542,0,1,CA,Redondo Beach,33.852,-118.3759
1250.0,3.0,1.5,1500,0,1,VA,Newport News,37.0867,-76.4941
1395.0,3.0,2.0,1650,0,0,NC,Raleigh,35.823,-78.6438
1600.0,2.0,1.0,820,0,1,CA,Vacaville,38.3622,-121.9712
975.0,1.0,1.0,624,0,1,NM,Albuquerque,35.1038,-106.611
1250.0,2.0,1.5,965,0,1,NM,Albuquerque,35.1038,-106.611
1600.0,2.0,2.0,1120,0,0,VA,Hampton,37.0451,-76.3664
1300.0,2.0,2.0,947,0,1,CO,Lakewood,39.6894,-105.1119
795.0,2.0,1.0,600,0,1,WV,Charleston,38.3454,-81.6219
2150.0,2.0,2.0,1005,0,0,CA,Chatsworth,34.2551,-118.5976
1795.0,3.0,2.5,1522,0,0,GA,Alpharetta,34.0718,-84.2525
3195.0,2.0,3.0,3077,0,0,MA,Marblehead,42.4982,-70.8647
2395.0,2.0,2.0,896,0,0,DC,Washington,38.9118,-77.0132
7800.0,4.0,3.5,4650,0,0,AZ,Scottsdale,33.5783,-111.8902
720.0,3.0,1.0,800,0,0,IA,Ames,42.0259,-93.6516
2000.0,2.0,1.5,872,0,1,WA,Kirkland,47.7046,-122.1989
729.0,1.0,1.0,800,0,1,TX,San Antonio,29.4624,-98.5253
1045.0,1.0,1.0,700,0,1,IL,Villa Park,41.8787,-87.9798
1800.0,3.0,3.0,1500,0,1,MS,Oxford,34.3504,-89.519
1250.0,2.0,1.0,435,0,1,OR,Portland,45.5091,-122.6449
1099.0,0.0,1.0,290,0,1,OR,Portland,45.5091,-122.6449
1060.0,1.0,1.0,650,6,0,TX,Austin,30.3054,-97.7497
1003.0,1.0,1.0,797,2,0,TX,Round Rock,30.5118,-97.6873
837.0,1.0,1.0,444,3,0,TX,Austin,30.3054,-97.7497
1020.0,1.0,1.0,692,3,0,TX,Austin,30.3054,-97.7497
985.0,1.0,1.0,693,2,0,TX,Austin,30.3054,-97.7497
1581.0,1.0,1.0,703,3,0,TX,Austin,30.3054,-97.7497
1090.0,1.0,1.0,665,3,0,TX,Georgetown,30.6505,-97.6809
3250.0,3.0,2.5,1525,0,1,CA,Ladera Ranch,33.5585,-117.6695
962.0,1.0,1.0,532,3,0,TX,Austin,30.3054,-97.7497
1740.0,2.0,2.0,1600,0,1,FL,West Palm Beach,26.7173,-80.1164
1722.0,1.0,1.0,453,0,0,TX,Austin,30.3054,-97.7497
840.0,1.0,1.0,540,3,0,TX,Round Rock,30.5118,-97.6873
1590.0,2.0,2.0,1000,0,1,MO,Kansas City,39.0744,-94.5521
975.0,1.0,1.0,615,4,1,TX,San Antonio,29.4624,-98.5253
895.0,0.0,1.0,430,0,1,PA,Pittsburgh,40.4448,-79.9725
1695.0,3.0,2.5,1550,0,1,IA,Urbandale,41.6251,-93.7375
975.0,1.0,1.0,650,5,1,TX,San Antonio,29.4624,-98.5253
4500.0,5.0,2.0,2050,3,0,MA,Allston,42.3584,-71.1318
3990.0,3.0,2.5,1739,0,0,CA,San Jose,37.3108,-121.8645
2300.0,1.0,1.0,668,0,0,CA,Oakland,37.7904,-122.2151
2550.0,2.0,1.0,860,1,0,CA,Oakland,37.7904,-122.2151
4950.0,4.0,3.0,3350,2,0,CA,Mission Viejo,33.6042,-117.6526
4950.0,2.0,1.5,1200,0,1,CA,Berkeley,37.8726,-122.2707
1225.0,2.0,1.0,720,5,0,WI,Madison,43.0724,-89.4003
1025.0,1.0,1.0,616,12,1,WI,Windsor,43.2128,-89.3435
2548.0,2.0,2.0,1391,3,1,CA,Sherman Oaks,34.1542,-118.4447
1299.0,3.0,2.0,1119,4,1,NC,Concord,35.4047,-80.6098
1549.0,2.0,1.0,431,2,1,VA,Arlington,38.8738,-77.1055
1905.0,2.0,1.0,900,5,1,VA,Alexandria,38.7999,-77.1072
1199.0,3.0,2.0,1273,0,1,GA,Dallas,33.9217,-84.8634
3580.0,4.0,2.0,2100,5,1,IL,Chicago,41.8625,-87.6825
495.0,1.0,1.0,360,2,1,OK,Tulsa,36.116,-95.9281
650.0,2.0,1.0,314,11,0,UT,Ogden,41.2321,-111.9813
